"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2021083764","5","5","","","","S","02","25","CLYDE AV","4","","02"
"2021029890","3","3","0008","0200","1091","N","2","45","BUTLER ST","2","3","02"
"2021038857","4","4","0008","0401","1045","S","2","40","WILLIAM FLINN HW","2","3","02"
"2021094286","3","3","0837","0540","1301","B","2","25","EAST CARSON ST","2","3","02"
"2021021956","3","3","3006","0030","1098","S","2","30","BOYCE RD","2","3","02"
"2021034281","3","3","","","","W","02","25","STEUBEN ST","4","","02"
"2021112569","4","4","0008","0291","1610","S","4","40","WILLIAM FLINN HW","2","3","02"
"2021048957","3","3","2037","0080","1150","N","2","35","MCKEESPORT BL","2","2","02"
"2021047175","3","3","0376","0674","524","E","2","55","PENN LINCOLN PY","1","1","02"
"2021077188","3","3","","","","E","02","15","HOFFMAN BL","3","","02"
"2021097181","3","3","0065","0210","475","N","3","40","OHIO RIVER BL","2","3","02"
"2021031746","4","4","","","","S","01","25","MCDEVITT PL","4","","02"
"2021034925","3","3","2037","0051","805","S","2","35","MCKEESPORT BL","2","3","02"
"2021062972","3","3","0051","0240","660","N","2","40","CLAIRTON BL","2","3","02"
"2021007258","3","3","0050","0200","34","S","2","35","WASHINGTON AV","2","3","02"
"2021034125","5","5","4017","0004","0","W","3","30","GRANT AV","2","3","02"
"2021007515","3","3","3069","0101","5234","S","2","45","LIBERTY TN","2","3","02"
"2021049195","4","4","","","","S","02","15","33RD ST","4","","02"
"2021055029","4","3","","","","N","02","35","BROWNSVILLE RD","4","","02"
"2021006209","6","6","3109","0071","3218","S","2","35","UNIVERSITY BL","2","3","02"
"2021087101","5","5","","","","W","02","25","OLD CLAIRTON RD","4","","02"
"2021019843","3","3","1001","0110","1487","N","3","35","FREEPORT RD","2","3","02"
"2021043841","4","4","4029","0050","2716","B","2","40","MC ALEER RD","2","3","02"
"2021059971","3","3","","","","N","02","25","ITIN ST","4","","02"
"2021068989","4","3","","","","W","04","25","5TH AV","4","","02"
"2021023256","4","4","0088","0140","0","N","2","35","LIBRARY RD","2","3","02"
"2021071410","3","3","","","","E","01","25","FOSTER ST","4","","02"
"2021087991","4","4","","","","U","02","25","HIALEAH DR","4","","02"
"2021043904","3","3","0837","0510","7","B","4","35","EAST CARSON ST","2","3","02"
"2021070147","4","4","0008","0401","920","S","2","40","WILLIAM FLINN HW","2","3","02"
"2021053920","5","5","","","","E","02","25","DICKSON AV","4","","02"
"2021020339","6","6","","","","U","04","25","WOODRUFF ST","4","","02"
"2021073686","3","3","0008","0320","2665","N","2","40","WILLIAM FLINN HW","2","3","02"
"2021088525","3","3","","","","B","2","25","GARVIN ST","4","","02"
"2021104994","3","3","","","","N","02","25","BEAGLE DR","4","","02"
"2021040835","3","3","0008","0130","0","N","4","35","ALLEGHENY RIVER BL","2","3","02"
"2021055648","3","3","","","","S","02","35","THOMPSON RUN RD","4","","02"
"2021070627","6","6","","","","W","05","25","WESTERN AV","4","","02"
"2021021699","5","5","3038","0030","3011","E","2","35","GILKESON RD","2","3","02"
"2021012045","3","3","","","","E","02","25","EDGEBROOK AV","4","","02"
"2021115829","3","3","0028","0190","106","N","2","55","ALLEGHENY VALLEY EX","2","1","02"
"2021011215","4","4","","","","E","02","25","HIGH RD","4","","02"
"2021062552","3","3","0791","0030","540","S","2","35","RODI RD","2","3","02"
"2021034797","4","4","0030","0331","1160","W","2","40","LINCOLN HW","2","3","02"
"2021048550","6","6","","","","E","05","40","NOTTINGHAM DR","4","","02"
"2021058487","3","3","2082","0120","200","W","2","45","COXCOMB HILL RD","2","3","02"
"2021071613","6","6","","","","N","04","25","5TH AV","4","","02"
"2021084903","5","5","","","","E","02","35","AMBER ST","4","","02"
"2021012750","4","3","","","","N","02","25","BROSVILLE ST","4","","02"
"2021072490","4","3","","","","W","02","25","FRANKSTOWN AV","4","","02"
"2021117040","3","3","0079","0580","936","N","2","55","RAYMOND P SHAFER HW","1","1","02"
"2021073445","3","4","","","","S","02","25","5TH AV","4","","02"
"2021056377","3","3","3004","0070","3277","E","2","30","MCLAUGHLIN RUN RD","2","3","02"
"2021049963","4","4","8010","0750","408","E","1","35","BRADDOCK AV INT/RAMP G RD","2","1","02"
"2021115705","3","3","0008","0070","0","E","2","35","PENN AV","2","3","02"
"2021101331","3","3","0051","0211","1501","S","2","40","CLAIRTON BL","2","1","02"
"2021082726","4","4","3077","0010","0","W","2","35","BEAVER GRADE RD","2","3","02"
"2021121427","3","3","3052","0141","114","W","2","35","GREENTREE RD","2","3","02"
"2021126382","4","4","","","","W","02","25","12TH ST","4","","02"
"2021123997","4","3","","","","W","02","20","6TH ST","4","","02"
"2021101335","3","3","2082","0022","1784","E","3","35","HULTON BRIDGE RD","2","3","02"
"2022000470","4","3","","","","E","02","25","SHERMAN AV","4","","02"
"2021071892","3","3","4099","0010","1180","N","2","25","MADISON AV","2","3","02"
"2021044659","4","3","7076","0130","1853","E","01","","TOLL ROAD RAMP RD","5","1","02"
"2021089783","3","4","","","","E","02","25","JANE ST","4","","02"
"2022019527","3","3","0051","0030","2937","N","2","50","HAYDEN BL","2","2","02"
"2021122510","3","4","","","","W","02","25","6TH AV","4","","02"
"2021068436","3","3","2122","0050","1460","W","2","25","BUTLER ST","2","3","02"
"2021091290","4","3","","","","N","02","25","3RD ST","4","","02"
"2021082025","6","6","","","","E","04","35","BRIGHTON HEIGHTS AV","4","","02"
"2021118430","3","3","","","","N","02","25","BRIGHTON RD","4","","02"
"2021100945","3","3","0376","0710","676","E","3","55","PENN LINCOLN PY","1","1","02"
"2021041556","3","3","","","","W","01","25","KENNEDY AV","4","","02"
"2021098397","3","3","","","","E","01","","WAL-MART DR","4","","02"
"2021021227","4","4","","","","N","02","25","CHERRINGTON PY","4","","02"
"2021086301","3","3","","","","W","02","25","ALBERT ST","4","","02"
"2021119330","3","4","","","","W","02","25","METROPOLITAN ST","4","","02"
"2021100652","5","5","","","","E","01","25","NEVILLE RD","4","","02"
"2021043807","3","3","","","","N","02","25","MIDDLETOWN RD","4","","02"
"2021127577","4","4","2078","0010","2065","B","2","35","HULTON RD","2","3","02"
"2021106347","4","3","","","","W","02","25","GRANT AV","4","","02"
"2021127035","4","4","0050","0171","2055","S","2","35","WASHINGTON PK","2","3","02"
"2021120128","6","6","","","","W","02","25","CHESTNUT ST","4","","02"
"2021073531","3","4","","","","N","02","25","MOREWOOD RD","4","","02"
"2021077278","3","3","0400","0300","0","E","2","35","SALTSBURG RD","2","3","02"
"2021099275","4","4","0050","0151","1680","W","2","40","WASHINGTON PK","2","3","02"
"2021122219","3","3","","","","S","02","25","CHAMPIONS DR","4","","02"
"2021118313","6","6","","","","S","02","30","THOMPSON ST","4","","02"
"2021083827","4","3","","","","W","05","25","5TH AV","4","","02"
"2021099165","3","3","2034","0010","2892","B","2","40","PHILLIP MURRAY RD","2","3","02"
"2022003604","3","3","0079","0745","2575","S","3","65","RAYMOND P SHAFER HW","1","1","02"
"2021123506","4","3","","","","E","04","25","LIBERTY AV","4","","02"
"2021076619","5","5","","","","E","02","25","HAZELWOOD AV","4","","02"
"2021084489","5","5","","","","S","02","25","MARKET ST","4","","02"
"2021087898","3","3","0130","0072","0","N","2","45","SANDY CREEK RD","2","3","02"
"2021122803","3","3","0019","0051","257","S","2","45","WASHINGTON RD","2","3","02"
"2021085601","3","3","0579","0003","1201","S","2","55","CROSSTOWN BL","1","1","02"
"2021125103","4","4","0400","0061","0","W","2","35","BAUM BL","2","3","02"
"2021076040","4","4","","","","N","02","25","STEEN RD","4","","02"
"2021082949","3","3","","","","W","02","25","WALL AV","4","","02"
"2021127395","5","5","4012","0010","0","N","2","35","RIVERVIEW AV","2","3","02"
"2021036639","5","5","2098","0010","1670","W","2","25","MIFFLIN ST","2","3","02"
"2021081799","4","6","H021","0030","422","N","4","25","CHESTNUT ST","4","3","02"
"2021105940","3","3","0885","0340","2370","N","2","35","BLVD OF THE ALLIES BL","2","3","02"
"2021087474","3","3","","","","E","2","25","CHARLES ST","4","","02"
"2021107009","4","4","8039","0010","0","N","1","20","FT PITT BR INT/RP B RD","2","1","02"
"2021085449","3","3","","","","N","2","25","SCHENLEY DR","4","","02"
"2021065609","3","4","","","","E","02","25","STEUBEN ST","4","","02"
"2021100827","4","4","","","","W","02","25","OLD COAL HOLLOW RD","4","","02"
"2021124793","3","5","2048","0110","0","E","4","35","WILLIAM PENN HW","2","3","02"
"2021116075","4","3","","","","W","02","25","GARBETT ST","4","","02"
"2021111901","6","6","","","","S","02","25","MORROW RD","4","","02"
"2021089053","3","3","","","","E","2","35","STEUBEN ST","4","","02"
"2021078124","4","4","0051","0371","0","W","2","25","SAW MILL RUN BL","2","3","02"
"2021059336","3","3","0079","0724","1112","N","3","55","RAYMOND P SHAFER HW","1","1","02"
"2021083899","4","3","","","","N","02","25","CLYDE` ST","4","","02"
"2021093901","4","3","","","","S","04","25","GRANT ST","4","","02"
"2021074339","3","4","","","","N","02","25","25TH ST","4","","02"
"2021069593","4","3","","","","N","02","25","MONTGOMERY AV","4","","02"
"2021118026","4","4","0008","0351","1820","S","2","40","WILLIAM FLINN HW","2","3","02"
"2021058785","5","5","","","","E","02","","HIGHLAND RD","4","","02"
"2021109762","3","3","4003","0150","1845","N","2","50","MCKNIGHT RD","2","3","02"
"2021099086","3","4","","","","N","04","25","GRANT ST","4","","02"
"2021112618","3","3","","","","E","04","35","BOWER HILL RD","4","","02"
"2021091597","3","3","2208","0010","600","E","2","25","BL OF THE ALLIES RD","2","3","02"
"2021119712","3","3","","","","E","02","25","BEDFORD AV","4","","02"
"2021110049","5","4","","","","S","02","25","ALLEGHENY RIVER BL","4","","02"
"2021028252","4","4","8046","0250","622","N","2","20","MILLVALE INT/RMP B RD","2","1","02"
"2021040966","4","4","","","","N","02","35","CURRY HOLLOW RD","3","","02"
"2021094704","3","3","0019","0550","0","N","2","45","PERRY HW","2","3","02"
"2021002041","4","3","","","","E","02","25","PENN AV","4","","02"
"2021015650","3","3","2026","0014","2495","E","2","35","FIRST ST","2","3","02"
"2021033778","3","4","","","","N","02","25","COURSIN ST","4","","02"
"2021080509","3","3","0376","0784","1646","E","3","55","PENN LINCOLN PY","1","1","02"
"2021019441","3","3","","","","S","02","25","UNIVERSAL RD","3","","02"
"2021051715","3","4","","","","E","02","","ELLSWORTH AV","4","","02"
"2021102245","3","3","","","","W","02","20","MARBURY RD","4","","02"
"2021042579","3","3","4003","0130","0","N","3","50","MCKNIGHT RD","2","3","02"
"2021059634","4","3","","","","E","02","30","5TH AV","4","","02"
"2021061832","3","3","0028","0060","447","N","3","35","EAST OHIO ST","2","1","02"
"2021050041","3","3","0279","0016","1771","N","2","50","EAST STREET VALLEY ET","1","1","02"
"2021049407","3","3","","","","E","02","25","BLAZIER DR","4","","02"
"2021064753","4","3","","","","N","02","35","BABCOCK BL","4","","02"
"2021032907","3","3","","","","E","02","25","OHIO AV","4","","02"
"2021023982","3","4","","","","W","02","25","BAUSMAN ST","4","","02"
"2021067530","4","4","2085","0010","0","N","2","35","BIRMINGHAM BR","2","3","02"
"2021086755","3","3","1001","0040","1210","N","2","25","BRIDGE ST","2","3","02"
"2021001340","3","3","0065","0030","1235","N","2","55","OHIO RIVER BL","2","2","02"
"2021018800","4","3","","","","N","02","25","WARREN DR","4","","02"
"2021067102","5","5","","","","E","02","25","NAYSMITH RD","4","","02"
"2021115534","3","3","0048","0070","641","S","2","35","SCENERY DR","2","3","02"
"2021040973","3","3","0051","0470","0","W","3","35","WEST CARSON ST","2","3","02"
"2021008435","3","3","0376","0734","350","E","3","55","PENN LINCOLN PY","1","1","02"
"2021084512","4","3","","","","N","02","25","ARLINGTON AV","4","","02"
"2021023223","3","4","","","","E","02","25","LORETTA ST","4","","02"
"2021034123","3","3","3069","0031","425","S","1","25","WEST LIBERTY AV","2","3","02"
"2021087672","3","3","0008","0340","0","N","2","40","WILLIAM FLINN HW","2","3","02"
"2021089215","3","3","0579","0002","1587","N","2","55","CROSSTOWN BL","1","1","02"
"2021066027","3","3","3034","0060","1050","N","2","30","LESNETT RD","2","3","02"
"2021013423","4","3","","","","E","02","25","GROVE AV","4","","02"
"2021089916","6","6","","","","E","05","","TURNPIKE RAMP RD TOLL 43","4","","02"
"2021027911","4","3","","","","N","02","25","MORNINGSIDE AV","4","","02"
"2021036593","3","3","0088","0070","0","N","3","35","LIBRARY RD","2","3","02"
"2021113399","3","3","0376","0720","1685","E","2","55","PENN LINCOLN PY","1","1","02"
"2021012410","4","3","","","","S","02","25","CURRY RD","4","","02"
"2021019437","3","3","","","","E","01","25","CAREY WY","4","","02"
"2021025134","3","3","0376","0604","2368","E","2","55","PENN LINCOLN PY","1","1","02"
"2021081322","5","5","0019","0160","0","N","2","35","BANKSVILLE RD","2","3","02"
"2021030057","3","3","0910","0010","0","E","2","35","WEXFORD BAYNE RD","2","3","02"
"2021038136","3","4","3037","0010","0","N","2","35","HAMILTON RD","2","3","02"
"2021062806","3","3","3109","0070","1910","N","2","35","UNIVERSITY BL","2","3","02"
"2021050209","3","3","2108","0120","295","W","2","25","WILKINS AV","2","3","02"
"2021033674","4","3","","","","N","02","25","VIRGINIA AV","4","","02"
"2021115643","4","5","","","","W","02","25","FORT PITT BL","4","","02"
"2021098110","4","3","","","","N","02","25","INTERBORO AV","4","","02"
"2021063341","3","3","","","","E","02","30","KLEBER RD","4","","02"
"2021047956","5","5","","","","W","02","25","PATTON DR","4","","02"
"2021091747","7","6","","","","U","07","40","HILLS VILLAGE MA","4","","02"
"2021030945","7","7","","","","U","02","25","LINDEN ST","4","","02"
"2021068665","4","4","0065","0251","0","S","2","40","OHIO RIVER BL","2","3","02"
"2021099391","3","3","0400","0082","0","E","2","35","CENTRE AV","2","3","02"
"2021008633","7","7","","","","E","04","35","5TH AV","4","","02"
"2021080049","4","3","","","","W","02","25","HAZELWOOD AV","4","","02"
"2021077981","5","5","8086","0010","0","N","2","20","RAMP F RD/TO BOWMAN AV","2","1","02"
"2021087702","4","4","3081","0060","218","E","2","25","MONTOUR ST","2","3","02"
"2021040243","3","3","0279","0076","2083","N","2","55","NORTH HILLS EX","1","1","02"
"2021071858","4","4","","","","E","02","25","PROSPECT RD","4","","02"
"2021057246","3","3","","","","W","01","25","COMMERCIAL ST","4","","02"
"2021027579","3","3","0376","0601","2133","W","2","55","PENN LINCOLN PY","1","1","02"
"2021050550","3","3","","","","W","01","25","W 5TH AV","4","","02"
"2021113535","4","4","0065","0031","1225","S","2","55","OHIO RIVER BL","2","2","02"
"2021127866","4","5","","","","E","02","20","CABLE AV","4","","02"
"2021077975","3","3","","","","W","02","25","DEBORAH JANE DR","4","","02"
"2021037288","4","3","","","","W","02","25","FORBES AV","4","","02"
"2021059297","3","3","","","","U","02","","8TH AV","4","","02"
"2021006700","3","3","0376","0694","619","E","2","55","PENN LINCOLN PY","1","1","02"
"2021066011","3","4","","","","N","02","25","3RD AV","4","","02"
"2021111251","3","3","","","","S","02","25","ARLINGTON AV","4","","02"
"2021006534","3","3","0050","0200","250","W","2","35","WASHINGTON AV","2","3","02"
"2021045385","3","4","","","","N","01","25","TUSTIN ST","4","","02"
"2021038712","3","4","","","","E","02","25","WASHINGTON PL","4","","02"
"2021086958","4","4","","","","N","2","25","INTERBORO AV","4","","02"
"2021021687","3","3","","","","S","02","25","SHERIDAN AV","4","","02"
"2021044643","3","3","0376","0794","2399","E","2","55","PENN LINCOLN PY","1","1","02"
"2021080069","3","3","2108","0130","0","W","2","25","WILKINS AV","2","3","02"
"2021024907","4","3","","","","W","03","25","VANADIUM RD","4","","02"
"2021038263","3","3","3087","0040","154","W","3","35","THORN RUN RD","2","3","02"
"2021080131","3","3","0065","0200","1080","N","2","40","OHIO RIVER BL","2","3","02"
"2021005133","3","4","","","","N","02","25","KINLEY AV","4","","02"
"2021059222","3","3","0885","0320","90","N","2","35","BL OF THE AL","2","3","02"
"2021040897","5","5","","","","S","01","15","FIRST AV","4","","02"
"2021091513","6","4","3109","0011","32","S","2","35","UNIVERSITY BL","2","3","02"
"2021027698","3","3","","","","S","01","25","SUMAC ST","4","","02"
"2021034256","3","3","0376","0594","1091","E","3","55","AIRPORT PY","1","1","02"
"2021104995","5","3","3109","0010","0","N","2","35","UNIVERSITY BL","2","3","02"
"2021024224","6","6","","","","E","02","25","ALBERMARLE RD","4","","02"
"2021047459","3","3","0279","0009","3363","S","2","50","FORT DUQUESNE BR","1","1","02"
"2021112892","3","3","","","","W","01","25","BROAD ST","4","","02"
"2021103029","7","7","","","","W","04","35","WILLIAM PENN HW","4","","02"
"2021033428","3","3","0028","0021","543","S","2","35","SR 0028 HW","2","1","02"
"2021053949","3","4","","","","N","01","25","20TH ST","4","","02"
"2021052726","3","4","","","","U","02","25","BROWNSVILLE RD","4","","02"
"2021013171","3","3","0121","0080","821","N","2","25","GREENTREE RD","2","3","02"
"2021036514","4","4","","","","N","02","25","FARMINGDALE RD","4","","02"
"2021036241","3","4","","","","S","01","25","WILLIAM PENN PL","4","","02"
"2021007462","4","4","3069","0100","2912","N","2","45","LIBERTY TN","2","3","02"
"2021042466","4","4","0019","0621","1675","S","2","40","PERRY HW","2","3","02"
"2021014048","3","3","","","","E","02","30","HUNTER RD","4","","02"
