"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2021097926,"99","0","8555 OLD STEUBENVILLE PIKE","","IMPERIAL","PA","15126","GOLDEN TRIANGLE CONSTRUCTION","9999999999","999999","","","","","","","","","","","","","2","","02"
2021057986,"02","1","PO BOX 791","","READING","PA","19603","PENSKE LEASING AND RENTAL CO","4077152280","026000","","","","","N","","","","","","N","UNK","1","99999999","03"
2021070089,"03","1","4001 LEADENHALL RD","","MOUNT LAUREL","NJ","08054","NEW BERN TRANSPORT CORP","9147676000","080000","","","","","N","","","","","","N","","2","00692947","08"
2021084516,"02","0","2235 BEAVER AVE.","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY CO","4124422000","999999","","","","","N","","","","","","N","A-00976060","1","","13"
2021085353,"04","4","100 CANAL STREET","","SHARPSVILLE","PA","16150","SHARON PAVING & CONSTRUCTION","7249627811","073280","","","","","N","","","","","","N","","1","00088246","09"
2021101974,"99","98","606 MCCORMICK AVE P O BOX776","","CONNELLSVILLE P","PA","15425","STONE & COMPANY INC","9999999999","999999","","","","","N","","","","","","","","3","","98"
2021127272,"03","9","15 27TH STREET","","PITTSBURGH","PA","15222","PITT OHIO EXPRESS","4122323015","073280","","","","","N","","","","","","N","","2","00190180","04"
2021016870,"01","3","1029 MCCARTNEY STREET","","PITTSBURGH","PA","15220","WILBER FUNERAL","4129227600","999999","","","","","N","","","","","","N","","1","02320915","02"
2021026254,"03","9","3249 INDUSTRIAL BLVD","","BETHEL PARK","PA","15102","DAVID MATTHEWS ROLL OFF","4124003567","","","","","","N","","","","","","N","000000","2","00000000","04"
2021063590,"02","0","2235 BEAVER AVENUE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY CO.","4124422000","","","","","","N","","","","","","N","A-00976060","2","","13"
2021070841,"03","9","1557 WAYNESBURG DR SW","","CANTON","OH","44707","PGD IV LLC","7247283500","999999","","","","","","","","","","","","","2","","99"
2021075265,"02","3","647 PITTSBURGH ROAD","","BUTLER","PA","16002","PENN FENCING","7245862019","026000","","","","","N","","","","","","N","","1","01632925","03"
2021092582,"06","3","161 PLAIN GROVE ROAD","","SLIPPERY ROCK","PA","16057","COMMERCIAL ASPHALT SUPPLY","7245306846","080000","","","","","N","","","","","","","","1","01895370","06"
2021081332,"99","8","2235 BEAVER AVE","","PITTSBURGH","PA","2011","PORT AUTHORITY OF ALLEGHENY CO","9999999999","999999","","","","","","","","","","","","","2","","13"
2021047871,"05","1","11690 NW 105 ST","","MIAMI","FL","33178","RYDER TRUCK RENTAL INC","3055003726","080000","","","","","N","","","","","","N","","1","00165420","08"
2021068882,"01","9","EQUIP 611-3027 17TH & ARSENAL","","HARRISBURG","PA","17120","PENN DOT","4122256732","","","","","","","","","","","","U","","1","06113027","09"
2021071099,"99","99","14002 E 21ST ST STE 150","","TULSA","OK","74134","EAN HOLDINGS LLC","9999999999","999999","","","","","","","","","","","","","2","","99"
2021030012,"05","1","6238 W MINNESOTA ST SUITE B","","INDIANAPOLIS","IN","46421","COWAN INTERMODAL GROUP LLC","8005179063","080000","","","","","N","","","","","","N","","1","00215194","08"
2021068112,"03","9","221 CURRY HOLLOW RD","","PITTSBURGH","PA","15236","HADDADS INC","9999999999","080000","","","","","N","","","","","","U","","2","00036916","99"
2021086262,"05","4","159 TCI PARK DR","","GROVE CITY","PA","16127","TRI COUNTY INDUSTRIES","7247484705","","","","","","N","","","","","","","","2","00208600","99"
2021036846,"05","1","100 MARKET DRIVE","","MILTON","ON","L9T3H5","TRANS EXPERT INC.","9058646443","040000","","","","","N","","","","","","N","","1","01982501","08"
2021112337,"03","4","923 WEIMER LN","","SALTSBURG","PA","15681","VISIONARY EQUIPMENT CORP","7244222942","080000","","","","","N","","","","","","","A108395","1","00120871","04"
2021018211,"02","1","14630 WYANDOTTE ST 121","","VAN NUYS","CA","91405","CONQUEROR TRANS LLC","8007658407","034500","","","","","N","","","","","","N","","1","03055204","08"
2021017714,"03","1","207 N COLFAX ST UNIT 7","","GRIFFITH","IN","46319","SENAD TRUCKING","7737332353","080000","","","","","N","","","","","","N","","1","03033290","06"
2021062580,"03","7","73A NOBLESTOWN ROAD","","CARNEGIE","PA","15106","REPUBLIC SERVICES","4124292600","033000","","","","","N","","","","","","N","","2","00962087","00"
2021123761,"02","98","2100 PENNSYLVANIA AVE","","WEST MIFFLIN","PA","15122","DANIEL MORRISSEY","7244090427","","","","","","","","","","","","","","2","99999999","09"
2021016446,"01","8","5374 WILLIAM FLINN","","ALLISON PARK","PA","15101","MONARK STUDENT TRANSPORTATION CO","7248983563","000000","","","","","N","","","","","","N","A00116335","2","00856887","12"
2021071997,"05","2","246 BURDETTE RD","","STONEBORO","PA","16153","ROBERT SCOTT BLACK","7246997494","080000","","","","","N","","","","","","N","","1","01259891","08"
2021083426,"04","3","648 CENTER AVE","648 CENTER AVE","PITTSBURGH","PA","15202","DAVID P DIXON DBA DAVID P DIXON","4125765897","","","","","","N","","","","","","N","A8922777","2","00388467","08"
2021089621,"02","3","610 BEATTY RD","","MONROEVILLE","PA","15146","MOTION INDUSTRIES INC","7242728223","","","","","","N","","","","","","N","","3","00573475","03"
2021004178,"03","4","109 DARK HOLLOW ROAD","","OAKMONT","PA","15139","FOLINO CONSTRUCTION","4128202800","056000","","","","","N","","","","","","N","","1","01413297","04"
2021023222,"05","1","2150 S CENT EXP WAY SUITE 200","","MCKLINNEY","TX","75070","AFK TRAILER LEASE LLC","2142250412","","","","","","N","","","","","","N","","2","","08"
2021042919,"04","4","296 CURRIE RD.","","PORTERSVILLE","PA","160510296","MCCLYMONDS SUPPLY AND TRANSIT CO","7243680502","105500","","","","","N","","","","","","N","1259","2","00269478","04"
2021077534,"04","8","345 SIXTH AVE","","PITTSBURGH","PA","15222","ALLEGHENY COUNTY PORT AUTHORITY","4122551385","999999","","","","","N","","","","","","N","A-00976060","1","","13"
2021077534,"04","9","3701 W MORRIS ST","","INDIANAPOLIS","IN","46241","PITT/OHIO","4122323015","999999","","","","","N","","","","","","N","","2","00019180","06"
2021094146,"04","4","5020 THOMS RUN RD","","OAKDALE","PA","15071","INDEPENDENT EQUIPMENT TRANSFER","4122570808","073280","","","","","N","","","","","","","","2","00479580","04"
2021108522,"04","99","108 GREGG STREET","","IMPERIAL","PA","15126","DYLAN KABANA (PRIVATELY OWNED)","4126058088","073280","","","","","N","","","","","","","N/A","2","03003404","00"
2021118103,"05","1","4001 LEADENHALL RD","","MT LAUREL","NJ","08054","NEW BERN TRANSPORT","8557372255","","","","","","N","","","","","","N","","1","00692947","08"
2021124456,"03","98","1669 CLAIRTON RD","","WEST MIFFLIN","PA","15122","MINNIEFIELD DEMOLITION SERVS LLC","4125085591","022400","","","","","N","","","","","","","","2","","06"
2021016466,"05","1","119 RED DR","","CLAIRTON","PA","15025","SAMUEL ORR","4128184038","008000","","","","","","","","","","","N","A-00100948","1","00088361","08"
2021121779,"02","0","2235 BEAVER AVENUE","","PITTSBURGH","PA","15233","PORT AUTHORITY","4124422000","041600","","","","","N","","","","","","","A-00976060","2","","13"
2021017787,"03","3","7301 WEST BLVD.  STE C4","","BOARDMAN","OH","44512","BLACKTOP SPECIALIST INC","3307588342","022000","","","","","N","","","","","","N","","1","01237191","08"
2021029236,"02","1","351 32ND ST","","PITTSBURGH","PA","15201","FEDEX","4127287228","012000","","","","","N","","","","","","N","252474","1","00252474","03"
2021058469,"02","1","1825 LIVERPOOL ST.","","PITTSBURGH","PA","15233","PITTSBURGH TRANSPORTATION GROUP","4123229113","","","","","","N","","","","","","","","1","01164759","13"
2021089242,"02","1","1373 ENTERPRISE DRIVE","","WEST CHESTER","PA","19380","COMMUNICATIONS TEST DESIGN INC.","2153162019","026000","","","","","N","","","","","","N","927523 B","1","00267846","03"
2021097349,"05","0","4747 MCLANE PARKWAY","","TEMPLE","TX","76504","MCCLANE","2547717500","080000","","","","","N","","","","","","","","1","00917131","08"
2021097349,"02","1","1200 PIEDMONT","","TROY","MI","48083","DIAMA-SHIELD LLC","8887304075","025999","","","","","N","","","","","","","","2","01413572","03"
2021104518,"05","1","709 MERLIN DRIVE","","SCHAUMBURG","IL","60193","BULMARKS INC","3462795646","080000","","","","","N","","","","","","","936970","2","02802558","08"
2021088876,"99","1","1000 CASTLEVIEW RD","","PITTSBURGH","PA","15234","MARSA INC","9999999999","014000","","","","","","","","","","","","","1","","02"
2021075070,"02","1","PO BOX 791","1901 DR THOMAS BLVD","READING","PA","19603","KEYSTONE RUSTPROOFING INC","7243397588","999999","","","","","N","","","","","","N","","3","00922262","03"
2021075070,"04","4","290 BILLMAR DR","3RD FLOOR","PITTSBURGH","PA","15205","EUROVIA ATLANTIC COAST LLC DBA","4127381158","999999","","","","","N","","","","","","N","","2","00097281","04"
2021006081,"03","9","1827 HOOD SCHOOL ROAD","1827 HOOD SCHOOL ROAD","INDIANA","PA","15701","RISING TRANSPORT","7245412986","","","","","","","","","","","","N","","2","02101794","04"
2021038122,"02","3","5008 PA 819","","APOLLO","PA","15613","FOUR BROTHERS SUPPLY","7247277830","","","","","","N","","","","","","N","YES","1","","00"
2021038884,"02","9","14949 ST RT 28 W","","ALEXANDRIA","IN","46001","R & L TRANSFER INC","3309211293","","","","","","N","","","","","","N","","1","00063391","06"
2021051964,"99","0","1807 SHENANGO RD","","NEW GALILEE","PA","16141","LINDY PAVING INC","9999999999","025999","","","","","N","","","","","","N","","2","","09"
2021034939,"02","9","2235 BEAVER AVENUE","","PITTSBURGH","PA","15222","PORT AUTHORITY OF ALLEGHENY COUN","4124422000","","","","","","N","","","","","","N","A-00976060","2","","13"
2021044268,"02","3","563 N CHERRY ST","","WORTHINGTON","PA","16262","BOWSER TOWING LLC","7242978110","","","","","","N","","","","","","N","","1","02157990","98"
2021056342,"02","4","375 N. SHORE DR.","","PITTSBURGH","PA","15212","PEOPLE GAS","8007640111","080000","","","","","N","","","","","","N","CLASS 25","2","00216624","04"
2021095755,"04","4","5020 THOMS RUN RD","","OAKDALE","PA","15071","INDEPENDENT EQUIPMENT TRANSFER","4122213435","007328","","","","","N","","","","","","","","1","00479580","08"
2021020037,"02","4","261 WALLACE RUN RD","","BEAVER FALLS","PA","15010","VALLEY WASTE SERVICE","7246251511","014500","","","","","N","","","","","","N","","2","01456525","02"
2021046151,"02","0","2330 WILDWOOD RD","","WILDWOOD","PA","15091","AUTOMOTIVE SYSTEMS WAREHOUSE","4124874800","026000","3","","","","Y","1","","","","","N","","1","00344995","09"
2021098069,"99","1","255 BUSINESS CENTER DRIVE","","HORSHAM","PA","19044","STROEHMANN LINE HAUL LP","9999999999","019500","","","","","","","","","","","","","2","","02"
2021126133,"05","1","23865 SW 117 CT","","HOMESTEAD","FL","33032","HURTADO TRANSPORT CORP","7862199417","080000","","","","","N","","","","","","","","2","03390940","08"
2021047413,"02","3","331 JONES ST","","VERONA","PA","15147","DAVID RICUPERO","4122878246","999999","","","","","N","","","","","","N","","1","02119063","03"
2021073506,"02","1","3200 INDUSTRIES ROAD","","RICHMOND","IN","47374","XPO LOGISTICS FREIGHT","7659627012","","","","","","N","","","","","","N","","1","04584665","03"
2021118816,"02","0","415 RECECCA STREET","","MCKESSPORT","PA","15132","PA COACH LINES","4126724020","","","","","","N","","","","","","","","1","","12"
2021052009,"05","6","5966 HERITAGE COURT","","TOLEDO","OH","43612","MOORE TRANSPORT OF TULSA LLC","4697133576","080000","","","","","N","","","","","","N","","1","01439050","08"
2021068616,"05","1","4701 W 2100 S","","SALT LAKE CITY","UT","84120","C R ENGLAND","8019722712","080000","","","","","N","","","","","","N","","2","00028406","08"
2021015891,"02","0","4905 LIBRARY RD","","BETHEL PARK","PA","15102","MARK GILLECE PLUMBING & HEATIN","9999999999","","","","","","N","","","","","","N","","2","02144396","05"
2021036828,"02","8","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY COUN","4124422000","","","","","","N","","","","","","N","A-00976060","2","","13"
2021109887,"03","3","45 ARDEN ROAD","","WASHINGTON","PA","15301","TARR REDI MIX CONCRETE & BUILDIN","7242224254","","","","","","N","","","","","","","","1","00904453","04"
2021003409,"05","2","999 AIRBRAKE AVE","","WILMERDING","PA","15148","ALLEGHENY PETROLEUM PRODUCTS","4124570120","080000","","","","","N","","","","","","N","","2","00332287","08"
2021047941,"03","0","2235 BEAVER AVE","","PITTSBURGH","PA","15223","PORT AUTHORITY OF ALLEGHENY","4124422000","026000","","","","","N","","","","","","N","A-00976060","2","","13"
2021060369,"02","8","2235 BEAVER AVENUE","","PITTSBRUGH","PA","15233","PORT AUTHORITY OF ALLEGHENY CO.","4122551385","","","","","","N","","","","","","","A-00976060","2","","13"
2021069370,"05","3","88 WEST MAIN STREET","","LEETONIA","OH","44431","BEEMAC TRUCKING LLC","7245957153","080000","","","","","N","","","","","","Y","","1","00388467","08"
2021079620,"04","1","1 RICH HILL RD","","CHESWICK","PA","15024","PITT OHIO","4122323015","999999","","","","","","","","","","","N","","2","00190180","08"
2021086239,"03","3","20121 REMLAP DRIVE","","REMLAP DRIVE","AL","35133","DIXIE TRUCKING COMPANY LLC","2053563096","080000","","","","","N","","","","","","N","","3","02263023","08"
2021100807,"02","0","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY","4124422000","025000","","","","","","","","","","","","A-00976060","1","","13"
2021108376,"02","0","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY COUN","4124422000","","","","","","N","","","","","","","A-00976060","1","","13"
2021113776,"02","3","2806 BROADWAY BLVD","","MONROEVILLE","PA","15146","ANGELO'S TOWING","4122478888","019500","","","","","N","","","","","","","","1","03213866","03"
2021119928,"02","0","175 MAHONING STREET","","PITTSBURGH","PA","15235","DMC TRANSPORT LLC","4122085045","080000","","","","","N","","","","","","","8924724","1","03652033","07"
2022001204,"02","4","3300 PREBLE AVE","","PITTSBURGH","PA","15233","ALCOSAN","4127664810","062000","","","","","N","","","","","","N","","2","00031007","98"
2022001204,"03","6","3507 W US HWY 24 NORTH WING","","REMINGTON","IN","47977","SMITH TRANSPORTATION LLC","8008771173","080000","","","","","N","","","","","","N","","3","00246204","08"
2021017887,"03","1","12702 SHENANDOAH TRAIL","","PLAINFIELD","IL","60585","US HIGHWAY EXPRESS","6088449585","080000","","","","","N","","","","","","N","02350420","1","02350420","08"
2021018434,"03","1","95 LIBERTY ST APT B4","","STAMFORD","CT","06902","LLOYD SMITH","8609225353","080000","","","","","N","","","","","","N","","2","02174141","08"
2021027644,"06","9","313 CAMP HORNE RD","","PITTSBURGH","PA","15202","BRS ROLLOFF SERVICE LLC","4127660834","036300","","","","","N","","","","","","U","99999","1","00099999","99"
2021032625,"06","2","2656 IDLEWOOD RD","","PITTSBURGH","PA","15205","ROBINSON PIPE CLEANING","4129212100","058000","","","","","N","","","","","","N","","3","00131232","04"
2021045765,"02","0","245 WILLETT ROAD","","GLENSHAW","PA","15116","DEMASI LANDSCAPING AND RETAIL LL","4125895237","010000","","","","","N","","","","","","N","NA","1","","02"
2021052769,"01","1","5677 PENNSYLVANIA AVENUE","","APALACHIN","NY","13732","752 UNITED FARM FAMILY INSURANCE","4842528219","","","","","","N","","","","","","N","00000","1","00000000","02"
2021070315,"05","2","607 E. CALLA RD","","NEW MIDDLETOWN","OH","44442","VENEZIA BULK TRANSOPRT","6104955200","080000","","","","","N","","","","","","N","A-00105332","1","01079986","08"
2021070315,"04","1","4201 GRAND AVE","","PGH","PA","15225","ALLEGHENY RECYCLED PRODUCTS","4123316704","065000","","","","","N","","","","","","N","A-00120163","2","00187669","08"
2021070807,"99","1","9315 OLIVE BLVD","","SAINT LOUIS","MO","63132","ENTERPRISE FM TRUST","9999999999","999999","","","","","","","","","","","","","1","","02"
2021079622,"02","1","6450 POE AVE SUITE 311","","VANDALIA","OH","45414","DAYTON FREIGHT","9374151764","034700","","","","","N","","","","","","N","","1","00273301","08"
2021082322,"05","1","WOLFDALE PLAZA, 2301","","WASHINGTON","PA","15301","VELTRI TRUCKING INC","7242289381","080000","","","","","N","","","","","","N","A-00000000","2","01077151","08"
2021084992,"04","1","200 FOREST AVE","","HAMILTON","ON","L8N4E6","TRANSWAY EXPRESS INC","9055775576","080000","","","","","N","","","","","","N","","2","03630140","08"
2021091796,"03","5","1051 MCCARTNEY STREET","","PITTSBURGH","PA","15220","QUALITY CONCRETE","4129220200","","","","","","N","","","","","","","","1","02066094","04"
2021091896,"05","9","7745 W 59TH ST PO BOX 425","","SUMMIT","IL","60501","QUALITY CARRIERS","8774426817","080000","","","","","N","","","","","","N","","2","00076600","08"
2021092549,"05","1","3701 W. MORRIS STREET","","INDIANAPOLIS","IN","46241","ECM TRANSPORT LLC","4784472682","080000","","","","","N","","","","","","","","2","00317494","08"
2021095780,"08","2","4366 MT PLEASANT STREET","","CANTON","OH","44720","KAG LEASING","9999999999","","","","","","N","","","","","","","","1","00067483","08"
2021095780,"06","4","3000GRAND AVENUE","","PITTSBURGH","PA","15225","JED SERVICES","4127715555","","","","","","N","","","","","","","A00113874","2","00674081","05"
2021100945,"02","98","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY","4124422000","025000","","","","","N","","","","","","","A-00976060","2","","13"
2021023775,"05","1","51051 US HIGHWAY","","OBERLIN","OH","44074","FRESH TO U TRANSPORT","4357331012","000020","","","","","N","","","","","","N","1839794408","2","02816764","08"
2021027979,"02","9","3680 OLD OAKDALE RD","","MCDONALD","PA","15057","SOUTH FAYETTE TWP SCHOOL DISTRIC","4122214542","","","","","","N","","","","","","N","00000","2","","12"
2021031177,"03","0","8871 W FLAMINGO RD UNIT 202","","LAS VEGAS","NV","89147","M&D TRANSPORT","2177851800","080000","","","","","N","","","","","","N","9999","2","02087305","04"
2021042898,"04","4","109 TIMBER RIDGE CT APT","","NEW STANTON","PA","15672","FRANCIS MARIO TINSLEY T/A TINS","4128613044","073280","","","","","N","","","","","","N","18928","1","01448494","04"
2021044782,"04","3","298 OLD LEBANON CHURCH,","298 OLD LEBANON CHURCH,","PITTSBURGH","PA","15236","WALSHAK TRUCKING","4126536538","","","","","","N","","","","","","N","A-109707","2","00562943","08"
2021049714,"05","1","7135 CENTENNIAL PL","","NASHVILLE","TN","372091033","WESTERN EXPRESS INC","8003167160","080000","","","","","N","","","","","","N","","2","00511412","08"
2021053293,"05","1","5 MAIN STREET","","SMITHFIELD","PA","15478","MTS ENTERPRISES OF SMITHFIELD","7249709991","080000","","","","","N","","","","","","N","","1","02609173","08"
2021067805,"02","3","100 N CONAHAN DR.","","HAZLETON","PA","18201","DBI SERVICES","8776893247","999999","","","","","N","","","","","","N","","2","","03"
2021094059,"03","4","901 HORNING RD","","BETHEL PARK","PA","15102","MICHAEL BROTHERS TRANSPORTATION","4128356428","015000","","","","","N","","","","","","","","1","02408389","04"
2021118193,"01","0","345 SIXTH AVE. 3RD FL","","PITTSBURGH","PA","15222","PORT AUTHORITY ALLEGHENY COUNTY","4122551385","","","","","","N","","","","","","","A-00976060","1","","13"
2022000230,"02","1","2010-2012 PENN AVENUE","","PITTSBURGH","PA","15222","PENSKE TRUCK RENTAL","4124718330","033000","","","","","N","","","","","","","","1","00327574","03"
2021124347,"02","3","1062 LONG RUN RD.","","MCKEESPORT","PA","15132","C & D TOWING","4124699380","000255","","","","","N","","","","","","","A00123372","1","00536207","03"
2021014914,"06","3","4906 FACTORY DRIVE","","FAIRFIELD","HG","45014","TRYON TRUCKING","6363452712","080000","","","","","N","","","","","","N","","1","00113676","08"
2021017825,"05","2","180 W MIDLAND AVE","","MIDLAND","PA","15059","ELITE GASFIELD SERVICES","7247282929","","","","","","N","","","","","","","","1","02206378","04"
2021036137,"02","0","2235 BEAVER AVE","","PITTSBURGH","PA","15233","PORT AUTHORITY OF ALLEGHENY CO.","4124422000","","","","","","N","","","","","","","A-00976060","2","","13"
2021042601,"03","3","4540 NEW TEXAS RD","","PITTSBURGH","PA","15239","STOCKMAN LAWNSCAPE INC","4125937067","","","","","","","","","","","","","","1","00000000","04"
2021042601,"03","8","5000 FORBES AVE","","PITTSBURGH","PA","15213","CARNEGIE MELLON UNIVERSITY","4124273604","","","","","","N","","","","","","N","","2","00000000","10"
2021044908,"06","4","296 CURRIE ROAD","","PORTERVILLE","PA","16051","MCCLYMONDS SUPPLY AND TRANSIT","7247093377","077000","","","","","N","","","","","","N","","2","00026947","04"
2021055136,"05","1","6720 COMMERCE BLVD","","SYRACUSE","NY","13211","FIRST CHOICE TRANSPORT INC","3153453472","080000","","","","","N","","","","","","N","","1","01626502","08"
2021065478,"05","1","5395 COGSWELL RD","","WAYNE","MI","48184","USA FULGER TRANSPORT","2263506679","080000","","","","","N","","","","","","N","","2","02467803","08"
2021071200,"05","1","1436 WARD TRUCKING DRIVE","","ALTOONA","PA","16602","WARD TRANSPORT AND LOGISTICS COR","8149440803","080000","","","","","N","","","","","","N","","2","00084850","08"
2021084398,"02","0","3147 W 169TH PL","","HAMMOND","IN","46323","UNITED PARCEL SERVICE INC","8007425877","080000","","","","","N","","","","","","N","","2","00021800","00"
2021094557,"02","8","2500 CLYDE AVE","","N VERSAILLES","PA","15137","S & S TRANSIT INC","4128297627","999999","","","","","N","","","","","","","","3","02430663","10"
2021106613,"03","11","1314 W 18TH STREET","","ERIE","PA","16502","TEAM HARDINGER TRANSPORTATION","8148604280","080000","","","","","N","","","","","","","96411","1","00041545","08"
2021111741,"02","1","1 JOHN STREET","","MCKEES ROCKS","PA","15136","RED DIAMOND TRUCKING","4127788877","025999","","","","","N","","","","","","","9999999999","1","01738977","03"
2021021321,"02","1","239 GREENWOOD RD","","ALTOONA","PA","16602","ALLEGHENY IDEALESE LLC","4129794103","019000","","","","","N","","","","","","N","","1","00333667","09"
2021051038,"04","0","345 SIXTH AVE","","PITTSBURGH","PA","15222","ALLEGHENY COUNTY PORT AUTHORITY","4122551385","999999","","","","","N","","","","","","","A-00976060","2","","13"
